age_type,age,1985,1990,1995,2000,2005,2010,2015,2013,2011,2007
age_5,15-19,1965-69,,,,,,,,,
age_5,20-24,1960-64,1965-69,,,,,,,,
age_5,25-29,1955-59,1960-64,1965-69,,,,,,,
age_5,30-34,1950-54,1955-59,1960-64,1965-69,,,,,,
age_5,35-39,1945-49,1950-54,1955-59,1960-64,1965-69,,,,,
age_5,40-44,1940-44,1945-49,1950-54,1955-59,1960-64,1965-69,,,,
age_5,45-49,1935-39,1940-44,1945-49,1950-54,1955-59,1960-64,1965-69,,,
age_5,50-54,1930-34,1935-39,1940-44,1945-49,1950-54,1955-59,1960-64,,,
age_5,55-59,,1930-34,1935-39,1940-44,1945-49,1950-54,1955-59,,,
age_5,60-64,,,1930-34,1935-39,1940-44,1945-49,1950-54,,,
age_5,65-69,,,,1930-34,1935-39,1940-44,1945-49,,,
age_5,70-74,,,,,1930-34,1935-39,1940-44,,,
age_5,75-79,,,,,,1930-34,1935-39,,,
age_5,80-84,,,,,,,1930-34,,,
age_10,15-24,1960-69,,1970-79,,1980-89,,1990-99,,,
age_10,25-34,1950-59,,1960-69,,1970-79,,1980-89,,,
age_10,35-44,1940-49,,1950-59,,1960-69,,1970-79,,,
age_10,45-54,1930-39,,1940-49,,1950-59,,1960-69,,,
age_10,55-64,,,1930-39,,1940-49,,1950-59,,,
age_10,65-74,,,,,1930-39,,1940-49,,,
age_10,75-84,,,,,,,1930-39,,,
age_20,25-44,,,1950-69,,,,,,,
age_20,45-64,,,1930-49,,,,1950-69,,,
age_20,65-84,,,,,,,1930-49,,,
